-1.000,-83.088,8.537,-0.550,-28.527,6.301
-0.975,-81.259,8.516,-0.525,-27.255,6.175
-0.950,-79.318,8.326,-0.500,-25.942,6.028
-0.925,-76.404,8.173,-0.475,-23.013,5.868
-0.900,-69.788,7.977,-0.450,-19.515,5.646
-0.875,-68.460,7.930,-0.425,-17.701,5.435
-0.850,-63.277,7.856,-0.400,-14.809,5.277
-0.825,-59.563,7.766,-0.375,-13.436,5.111
-0.800,-58.806,7.683,-0.350,-11.884,4.898
-0.775,-57.618,7.585,-0.325,-10.457,4.682
-0.750,-51.399,7.514,-0.300,-8.630,4.412
-0.725,-50.764,7.406,-0.275,-6.824,4.184
-0.700,-42.267,7.131,-0.250,-5.395,3.934
-0.675,-41.515,6.929,-0.225,-4.431,3.656
-0.650,-40.720,6.820,-0.200,-3.248,3.306
-0.625,-36.148,6.697,-0.175,-1.952,2.800
-0.600,-33.899,6.557,-0.150,-0.614,2.136
-0.575,-31.478,6.419,-0.125,,
